UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
466534	paperref:362583	paperref:362571	|
470838	paperref:358999	paperref:360168	|
463345	paperref:359006	paperref:359320	|
448170	paperref:358399	paperref:358394	|	exists=EXIST:P=0.0,1.0
475315	paperref:361450	paperref:359806	|
449936	paperref:358386	paperref:361657	|	exists=NOTEXIST:P=1.0,0.0
451440	paperref:361950	paperref:361617	|
469665	paperref:358331	paperref:359190	|
462127	paperref:361623	paperref:361644	|	exists=NOTEXIST:P=1.0,0.0
458480	paperref:358553	paperref:361628	|
441853	paperref:361030	paperref:361037	|
465063	paperref:358062	paperref:362971	|	exists=NOTEXIST:P=1.0,0.0
461449	paperref:362592	paperref:358335	|
468232	paperref:361631	paperref:359495	|
447255	paperref:358396	paperref:358398	|	exists=EXIST:P=0.0,1.0
467607	paperref:358353	paperref:358284	|
456975	paperref:360464	paperref:358552	|	exists=NOTEXIST:P=1.0,0.0
469198	paperref:360909	paperref:360912	|
449752	paperref:362859	paperref:362860	|
462482	paperref:361621	paperref:361660	|
472432	paperref:361089	paperref:358541	|
446284	paperref:357857	paperref:358441	|
473919	paperref:360983	paperref:360860	|
466929	paperref:358336	paperref:358241	|
453308	paperref:362030	paperref:358925	|
446496	paperref:358390	paperref:358845	|	exists=NOTEXIST:P=1.0,0.0
464179	paperref:362112	paperref:358349	|	exists=NOTEXIST:P=1.0,0.0
459414	paperref:362208	paperref:358127	|
457130	paperref:358437	paperref:360341	|
458924	paperref:362159	paperref:361633	|	exists=NOTEXIST:P=1.0,0.0
453816	paperref:362032	paperref:361692	|	exists=NOTEXIST:P=1.0,0.0
461267	paperref:359388	paperref:359040	|
457707	paperref:361629	paperref:361634	|	exists=EXIST:P=0.0,1.0
445640	paperref:361691	paperref:359189	|
453675	paperref:359089	paperref:362735	|
443398	paperref:361759	paperref:362677	|
468122	paperref:361881	paperref:360338	|	exists=NOTEXIST:P=1.0,0.0
460890	paperref:361340	paperref:361133	|	exists=NOTEXIST:P=1.0,0.0
469807	paperref:358330	paperref:359191	|
457039	paperref:360546	paperref:363288	|
470725	paperref:358840	paperref:358839	|
452980	paperref:361890	paperref:362031	|
472649	paperref:362463	paperref:362462	|	exists=EXIST:P=0.0,1.0
442237	paperref:362045	paperref:358393	|
461840	paperref:359419	paperref:359428	|
453982	paperref:361691	paperref:358432	|
471580	paperref:360912	paperref:359495	|
464881	paperref:358922	paperref:361685	|	exists=NOTEXIST:P=1.0,0.0
472246	paperref:361662	paperref:363009	|
439649	paperref:358395	paperref:362047	|	exists=NOTEXIST:P=1.0,0.0
468892	paperref:358334	paperref:358338	|
448475	paperref:358395	paperref:362584	|
472711	paperref:363009	paperref:362667	|
473288	paperref:359515	paperref:360157	|
475618	paperref:360489	paperref:360490	|
451482	paperref:361617	paperref:358439	|
