UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
114813	paperref:3622	paperref:3898	|	exists=NOTEXIST:P=1.0,0.0
131232	paperref:1601	paperref:1571	|
132508	paperref:3664	paperref:1057	|
77226	paperref:5054	paperref:833	|	exists=NOTEXIST:P=1.0,0.0
86999	paperref:3828	paperref:3857	|
100189	paperref:2662	paperref:3529	|
111151	paperref:3492	paperref:3493	|
87238	paperref:3829	paperref:5094	|
75576	paperref:5326	paperref:4103	|
75710	paperref:1372	paperref:1375	|	exists=EXIST:P=0.0,1.0
89793	paperref:3832	paperref:4805	|
105649	paperref:547	paperref:544	|	exists=EXIST:P=0.0,1.0
87734	paperref:1135	paperref:3831	|	exists=NOTEXIST:P=1.0,0.0
94537	paperref:595	paperref:605	|
133836	paperref:1169	paperref:3776	|	exists=NOTEXIST:P=1.0,0.0
123379	paperref:1311	paperref:4598	|
99832	paperref:3839	paperref:3906	|
94633	paperref:595	paperref:600	|	exists=EXIST:P=0.0,1.0
133046	paperref:2192	paperref:1632	|
118056	paperref:804	paperref:2705	|	exists=NOTEXIST:P=1.0,0.0
86963	paperref:957	paperref:3828	|	exists=NOTEXIST:P=1.0,0.0
79984	paperref:1486	paperref:2268	|
104925	paperref:1749	paperref:1241	|
123704	paperref:3426	paperref:1941	|	exists=NOTEXIST:P=1.0,0.0
89363	paperref:3833	paperref:1699	|	exists=NOTEXIST:P=1.0,0.0
110923	paperref:3423	paperref:1532	|
127505	paperref:4694	paperref:2269	|	exists=NOTEXIST:P=1.0,0.0
122991	paperref:5485	paperref:5297	|	exists=NOTEXIST:P=1.0,0.0
126530	paperref:4746	paperref:2331	|
115183	paperref:5500	paperref:2945	|
103956	paperref:3107	paperref:632	|
131404	paperref:1641	paperref:2701	|
113379	paperref:3663	paperref:3249	|	exists=NOTEXIST:P=1.0,0.0
113679	paperref:4492	paperref:4589	|	exists=NOTEXIST:P=1.0,0.0
84099	paperref:1762	paperref:5568	|
96766	paperref:3836	paperref:4254	|	exists=NOTEXIST:P=1.0,0.0
110373	paperref:1130	paperref:3011	|
102558	paperref:881	paperref:4886	|	exists=NOTEXIST:P=1.0,0.0
128546	paperref:2556	paperref:4261	|	exists=NOTEXIST:P=1.0,0.0
124194	paperref:4890	paperref:1913	|	exists=NOTEXIST:P=1.0,0.0
109008	paperref:3622	paperref:549	|
126265	paperref:827	paperref:2330	|
109014	paperref:549	paperref:654	|
78212	paperref:2744	paperref:585	|	exists=NOTEXIST:P=1.0,0.0
109806	paperref:4980	paperref:4591	|
114760	paperref:4783	paperref:1252	|
126303	paperref:827	paperref:2329	|
122079	paperref:1312	paperref:3246	|	exists=NOTEXIST:P=1.0,0.0
124569	paperref:979	paperref:3710	|	exists=NOTEXIST:P=1.0,0.0
126368	paperref:3869	paperref:1058	|
129755	paperref:2112	paperref:1060	|
94871	paperref:392	paperref:1117	|	exists=NOTEXIST:P=1.0,0.0
102018	paperref:4248	paperref:651	|	exists=NOTEXIST:P=1.0,0.0
106471	paperref:206	paperref:4256	|
91484	paperref:2226	paperref:2058	|	exists=NOTEXIST:P=1.0,0.0
120611	paperref:3243	paperref:754	|	exists=NOTEXIST:P=1.0,0.0
134332	paperref:3574	paperref:3572	|	exists=EXIST:P=0.0,1.0
124505	paperref:2950	paperref:1678	|
77814	paperref:655	paperref:1402	|
76101	paperref:669	paperref:670	|	exists=EXIST:P=0.0,1.0
110957	paperref:1532	paperref:3851	|	exists=NOTEXIST:P=1.0,0.0
128355	paperref:4803	paperref:4797	|
89960	paperref:2309	paperref:4326	|	exists=NOTEXIST:P=1.0,0.0
80403	paperref:1408	paperref:3529	|	exists=NOTEXIST:P=1.0,0.0
79620	paperref:601	paperref:1879	|
104948	paperref:2504	paperref:2501	|
92545	paperref:1414	paperref:1413	|	exists=EXIST:P=0.0,1.0
113372	paperref:3249	paperref:1301	|
94410	paperref:4542	paperref:651	|	exists=NOTEXIST:P=1.0,0.0
89589	paperref:1756	paperref:4244	|
105662	paperref:544	paperref:5269	|	exists=NOTEXIST:P=1.0,0.0
82172	paperref:223	paperref:1478	|
132671	paperref:4190	paperref:1304	|
102891	paperref:3844	paperref:1703	|	exists=NOTEXIST:P=1.0,0.0
90336	paperref:3845	paperref:3831	|
128239	paperref:4899	paperref:576	|	exists=NOTEXIST:P=1.0,0.0
89632	paperref:4000	paperref:5473	|	exists=NOTEXIST:P=1.0,0.0
105227	paperref:317	paperref:561	|	exists=NOTEXIST:P=1.0,0.0
96706	paperref:3900	paperref:3836	|	exists=NOTEXIST:P=1.0,0.0
89567	paperref:1756	paperref:1752	|
91606	paperref:4538	paperref:3900	|	exists=NOTEXIST:P=1.0,0.0
112438	paperref:3138	paperref:2690	|	exists=NOTEXIST:P=1.0,0.0
105095	paperref:316	paperref:1705	|	exists=NOTEXIST:P=1.0,0.0
113853	paperref:3850	paperref:4373	|
96935	paperref:1751	paperref:544	|	exists=NOTEXIST:P=1.0,0.0
