UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
466534	paperref:361399	paperref:357306	|	exists=NOTEXIST:P=1.0,0.0
470838	paperref:361106	paperref:357810	|	exists=NOTEXIST:P=1.0,0.0
463345	paperref:360765	paperref:360682	|	exists=NOTEXIST:P=1.0,0.0
448170	paperref:360184	paperref:359148	|	exists=NOTEXIST:P=1.0,0.0
451440	paperref:359552	paperref:357660	|	exists=NOTEXIST:P=1.0,0.0
449936	paperref:358182	paperref:357456	|	exists=NOTEXIST:P=1.0,0.0
469665	paperref:357464	paperref:360272	|	exists=NOTEXIST:P=1.0,0.0
462127	paperref:357795	paperref:362133	|	exists=NOTEXIST:P=1.0,0.0
458480	paperref:362421	paperref:360726	|	exists=NOTEXIST:P=1.0,0.0
441853	paperref:357455	paperref:357283	|	exists=NOTEXIST:P=1.0,0.0
465063	paperref:359981	paperref:358554	|	exists=NOTEXIST:P=1.0,0.0
461449	paperref:359141	paperref:361129	|	exists=NOTEXIST:P=1.0,0.0
468232	paperref:358327	paperref:358329	|
447255	paperref:360098	paperref:358105	|
467607	paperref:360700	paperref:358020	|
456975	paperref:360705	paperref:360697	|	exists=EXIST:P=0.0,1.0
469198	paperref:359241	paperref:359237	|	exists=EXIST:P=0.0,1.0
449752	paperref:361044	paperref:358795	|	exists=NOTEXIST:P=1.0,0.0
462482	paperref:357794	paperref:360761	|	exists=NOTEXIST:P=1.0,0.0
472432	paperref:361399	paperref:361097	|	exists=NOTEXIST:P=1.0,0.0
446284	paperref:360475	paperref:360753	|	exists=NOTEXIST:P=1.0,0.0
473919	paperref:358966	paperref:358961	|
466929	paperref:359361	paperref:359706	|	exists=NOTEXIST:P=1.0,0.0
453308	paperref:360251	paperref:360687	|
446496	paperref:358386	paperref:357463	|	exists=NOTEXIST:P=1.0,0.0
464179	paperref:358478	paperref:358562	|	exists=NOTEXIST:P=1.0,0.0
459414	paperref:358606	paperref:357506	|	exists=NOTEXIST:P=1.0,0.0
457130	paperref:361113	paperref:357456	|	exists=NOTEXIST:P=1.0,0.0
458924	paperref:360694	paperref:361022	|	exists=NOTEXIST:P=1.0,0.0
453816	paperref:360831	paperref:358766	|	exists=NOTEXIST:P=1.0,0.0
461267	paperref:359581	paperref:360299	|	exists=NOTEXIST:P=1.0,0.0
457707	paperref:361114	paperref:360276	|
445640	paperref:361453	paperref:358388	|	exists=NOTEXIST:P=1.0,0.0
453675	paperref:360826	paperref:360830	|	exists=EXIST:P=0.0,1.0
443398	paperref:360698	paperref:357989	|	exists=NOTEXIST:P=1.0,0.0
468122	paperref:361106	paperref:357455	|
460890	paperref:361746	paperref:358148	|
469807	paperref:357399	paperref:357506	|
457039	paperref:360339	paperref:360697	|
470725	paperref:358259	paperref:361100	|
452980	paperref:360589	paperref:360738	|	exists=NOTEXIST:P=1.0,0.0
472649	paperref:359912	paperref:358152	|
442237	paperref:359542	paperref:359541	|	exists=EXIST:P=0.0,1.0
461840	paperref:359152	paperref:357461	|	exists=NOTEXIST:P=1.0,0.0
453982	paperref:359235	paperref:359148	|	exists=NOTEXIST:P=1.0,0.0
471580	paperref:360763	paperref:357401	|	exists=NOTEXIST:P=1.0,0.0
464881	paperref:358559	paperref:358553	|	exists=EXIST:P=0.0,1.0
472246	paperref:360762	paperref:361096	|	exists=NOTEXIST:P=1.0,0.0
439649	paperref:358255	paperref:357499	|	exists=NOTEXIST:P=1.0,0.0
468892	paperref:357311	paperref:361657	|
448475	paperref:357129	paperref:359000	|	exists=NOTEXIST:P=1.0,0.0
472711	paperref:361653	paperref:360761	|	exists=NOTEXIST:P=1.0,0.0
473288	paperref:361227	paperref:361228	|	exists=EXIST:P=0.0,1.0
451482	paperref:358505	paperref:362495	|	exists=NOTEXIST:P=1.0,0.0
464512	paperref:357832	paperref:357836	|	exists=EXIST:P=0.0,1.0
468100	paperref:361647	paperref:357455	|
463104	paperref:360685	paperref:360700	|	exists=EXIST:P=0.0,1.0
464847	paperref:358288	paperref:358287	|	exists=EXIST:P=0.0,1.0
445750	paperref:357273	paperref:360513	|	exists=NOTEXIST:P=1.0,0.0
472194	paperref:361657	paperref:360760	|	exists=NOTEXIST:P=1.0,0.0
462193	paperref:359151	paperref:357606	|	exists=NOTEXIST:P=1.0,0.0
447492	paperref:360522	paperref:357454	|	exists=NOTEXIST:P=1.0,0.0
463719	paperref:360336	paperref:361452	|	exists=NOTEXIST:P=1.0,0.0
471241	paperref:360276	paperref:358151	|	exists=NOTEXIST:P=1.0,0.0
451760	paperref:358520	paperref:359554	|	exists=NOTEXIST:P=1.0,0.0
471794	paperref:361099	paperref:357402	|	exists=NOTEXIST:P=1.0,0.0
454716	paperref:358073	paperref:361446	|	exists=NOTEXIST:P=1.0,0.0
472497	paperref:361655	paperref:356924	|	exists=NOTEXIST:P=1.0,0.0
456707	paperref:358255	paperref:357405	|
465413	paperref:360565	paperref:362000	|
446009	paperref:361390	paperref:360474	|	exists=NOTEXIST:P=1.0,0.0
460731	paperref:358345	paperref:360688	|	exists=NOTEXIST:P=1.0,0.0
