UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
372612	paperref:254171	paperref:254168	|	exists=EXIST:P=0.0,1.0
372549	paperref:257606	paperref:255530	|	exists=NOTEXIST:P=1.0,0.0
332468	paperref:255641	paperref:253957	|
354335	paperref:253994	paperref:257248	|
355427	paperref:253828	paperref:255226	|
341533	paperref:256292	paperref:258852	|	exists=NOTEXIST:P=1.0,0.0
360842	paperref:256020	paperref:256018	|	exists=EXIST:P=0.0,1.0
357564	paperref:257007	paperref:257840	|	exists=NOTEXIST:P=1.0,0.0
362795	paperref:257175	paperref:253997	|	exists=NOTEXIST:P=1.0,0.0
360161	paperref:256694	paperref:258992	|
363389	paperref:255236	paperref:254108	|
355517	paperref:255791	paperref:258364	|	exists=NOTEXIST:P=1.0,0.0
369748	paperref:257182	paperref:254749	|	exists=NOTEXIST:P=1.0,0.0
337045	paperref:258412	paperref:257643	|
333757	paperref:257592	paperref:254290	|	exists=NOTEXIST:P=1.0,0.0
373418	paperref:255529	paperref:255290	|	exists=NOTEXIST:P=1.0,0.0
339058	paperref:258969	paperref:257127	|	exists=NOTEXIST:P=1.0,0.0
339317	paperref:257596	paperref:257175	|	exists=NOTEXIST:P=1.0,0.0
351838	paperref:253949	paperref:257015	|	exists=NOTEXIST:P=1.0,0.0
341460	paperref:253896	paperref:258154	|	exists=NOTEXIST:P=1.0,0.0
364378	paperref:257175	paperref:254112	|
334562	paperref:257011	paperref:253952	|	exists=NOTEXIST:P=1.0,0.0
363897	paperref:254110	paperref:254885	|
336452	paperref:254601	paperref:258372	|	exists=NOTEXIST:P=1.0,0.0
337760	paperref:256034	paperref:257595	|
375001	paperref:256051	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
359216	paperref:257516	paperref:257511	|	exists=EXIST:P=0.0,1.0
343930	paperref:258953	paperref:254893	|	exists=NOTEXIST:P=1.0,0.0
367620	paperref:254398	paperref:254389	|	exists=NOTEXIST:P=1.0,0.0
346826	paperref:257939	paperref:258328	|	exists=NOTEXIST:P=1.0,0.0
357470	paperref:258041	paperref:254599	|	exists=NOTEXIST:P=1.0,0.0
338323	paperref:256363	paperref:257684	|	exists=NOTEXIST:P=1.0,0.0
337740	paperref:257225	paperref:254971	|	exists=NOTEXIST:P=1.0,0.0
360205	paperref:253891	paperref:257892	|	exists=NOTEXIST:P=1.0,0.0
355502	paperref:257848	paperref:254396	|	exists=NOTEXIST:P=1.0,0.0
349547	paperref:255729	paperref:254567	|	exists=NOTEXIST:P=1.0,0.0
358118	paperref:253871	paperref:258771	|	exists=NOTEXIST:P=1.0,0.0
351212	paperref:256749	paperref:256843	|	exists=NOTEXIST:P=1.0,0.0
359768	paperref:257253	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
344682	paperref:257450	paperref:253994	|	exists=NOTEXIST:P=1.0,0.0
340980	paperref:253552	paperref:258372	|	exists=NOTEXIST:P=1.0,0.0
374135	paperref:254288	paperref:255900	|	exists=NOTEXIST:P=1.0,0.0
358757	paperref:254939	paperref:257010	|	exists=NOTEXIST:P=1.0,0.0
378843	paperref:254001	paperref:257892	|	exists=NOTEXIST:P=1.0,0.0
336588	paperref:253960	paperref:257200	|	exists=NOTEXIST:P=1.0,0.0
339828	paperref:254750	paperref:253805	|
344344	paperref:254752	paperref:258616	|
368134	paperref:257179	paperref:257609	|
345522	paperref:254918	paperref:255005	|	exists=NOTEXIST:P=1.0,0.0
350650	paperref:254949	paperref:253948	|	exists=NOTEXIST:P=1.0,0.0
336900	paperref:256367	paperref:256150	|
373499	paperref:257187	paperref:254519	|	exists=NOTEXIST:P=1.0,0.0
366003	paperref:254109	paperref:257212	|
369204	paperref:256385	paperref:253705	|	exists=NOTEXIST:P=1.0,0.0
375349	paperref:255904	paperref:256679	|	exists=NOTEXIST:P=1.0,0.0
342995	paperref:254893	paperref:253958	|	exists=NOTEXIST:P=1.0,0.0
373976	paperref:255331	paperref:257217	|
352470	paperref:256899	paperref:256895	|	exists=EXIST:P=0.0,1.0
366870	paperref:255289	paperref:255664	|
360736	paperref:253553	paperref:256455	|	exists=NOTEXIST:P=1.0,0.0
333623	paperref:257178	paperref:253955	|
367314	paperref:254105	paperref:257604	|
334858	paperref:257514	paperref:253953	|	exists=NOTEXIST:P=1.0,0.0
371802	paperref:256301	paperref:255024	|	exists=NOTEXIST:P=1.0,0.0
353959	paperref:256038	paperref:257247	|	exists=NOTEXIST:P=1.0,0.0
362999	paperref:254400	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
349138	paperref:258386	paperref:257336	|	exists=NOTEXIST:P=1.0,0.0
339705	paperref:255056	paperref:256839	|	exists=NOTEXIST:P=1.0,0.0
376831	paperref:257199	paperref:256844	|	exists=NOTEXIST:P=1.0,0.0
346991	paperref:255289	paperref:253683	|	exists=NOTEXIST:P=1.0,0.0
342551	paperref:257525	paperref:255301	|
373807	paperref:258570	paperref:256459	|	exists=NOTEXIST:P=1.0,0.0
370266	paperref:257484	paperref:254676	|	exists=NOTEXIST:P=1.0,0.0
350336	paperref:255101	paperref:255375	|	exists=NOTEXIST:P=1.0,0.0
372728	paperref:256833	paperref:255299	|	exists=NOTEXIST:P=1.0,0.0
374971	paperref:255539	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
354123	paperref:255931	paperref:256723	|
356479	paperref:253767	paperref:255882	|	exists=NOTEXIST:P=1.0,0.0
348474	paperref:254859	paperref:257025	|
337233	paperref:254338	paperref:257220	|
379171	paperref:253845	paperref:254753	|	exists=NOTEXIST:P=1.0,0.0
332019	paperref:254989	paperref:256055	|
