DIRECTED	paperref-cites
cat=NOTEXIST,EXIST:exists
448170	paperref:382645	|	paperref:380085	|	exists=EXIST:P=0.0,1.0
451440	paperref:381200	|	paperref:383631	|	exists=NOTEXIST:P=1.0,0.0
449936	paperref:385024	|	paperref:382333	|
429091	paperref:381023	|	paperref:380323	|
441853	paperref:382641	|	paperref:380085	|	exists=EXIST:P=0.0,1.0
447255	paperref:383696	|	paperref:380606	|	exists=EXIST:P=0.0,1.0
456975	paperref:380151	|	paperref:383365	|	exists=EXIST:P=0.0,1.0
449752	paperref:384854	|	paperref:379870	|	exists=EXIST:P=0.0,1.0
429371	paperref:383243	|	paperref:381189	|	exists=EXIST:P=0.0,1.0
446284	paperref:381549	|	paperref:383256	|	exists=EXIST:P=0.0,1.0
432773	paperref:379897	|	paperref:382408	|	exists=EXIST:P=0.0,1.0
431275	paperref:383437	|	paperref:382301	|	exists=EXIST:P=0.0,1.0
453308	paperref:380922	|	paperref:384054	|
446496	paperref:383495	|	paperref:382559	|	exists=EXIST:P=0.0,1.0
434062	paperref:382213	|	paperref:381754	|	exists=EXIST:P=0.0,1.0
457130	paperref:380303	|	paperref:384314	|	exists=NOTEXIST:P=1.0,0.0
434826	paperref:381227	|	paperref:381650	|	exists=EXIST:P=0.0,1.0
453816	paperref:384061	|	paperref:381313	|
457707	paperref:380050	|	paperref:380384	|	exists=NOTEXIST:P=1.0,0.0
436815	paperref:380322	|	paperref:380692	|	exists=EXIST:P=0.0,1.0
445640	paperref:381281	|	paperref:381412	|	exists=NOTEXIST:P=1.0,0.0
453675	paperref:384653	|	paperref:383640	|	exists=EXIST:P=0.0,1.0
443398	paperref:381900	|	paperref:382823	|	exists=EXIST:P=0.0,1.0
457039	paperref:383397	|	paperref:381849	|	exists=NOTEXIST:P=1.0,0.0
432608	paperref:384393	|	paperref:383081	|	exists=NOTEXIST:P=1.0,0.0
452980	paperref:383455	|	paperref:379826	|
433255	paperref:383980	|	paperref:383587	|
437768	paperref:380549	|	paperref:383688	|	exists=NOTEXIST:P=1.0,0.0
442237	paperref:379958	|	paperref:381661	|	exists=EXIST:P=0.0,1.0
453982	paperref:380691	|	paperref:381155	|
429676	paperref:384409	|	paperref:383492	|	exists=EXIST:P=0.0,1.0
439649	paperref:380655	|	paperref:382208	|	exists=EXIST:P=0.0,1.0
433179	paperref:380858	|	paperref:380006	|	exists=NOTEXIST:P=1.0,0.0
432392	paperref:384211	|	paperref:381048	|	exists=EXIST:P=0.0,1.0
448475	paperref:381137	|	paperref:381393	|	exists=EXIST:P=0.0,1.0
437500	paperref:382946	|	paperref:384088	|	exists=NOTEXIST:P=1.0,0.0
434146	paperref:384521	|	paperref:381902	|	exists=NOTEXIST:P=1.0,0.0
429144	paperref:384605	|	paperref:381343	|	exists=EXIST:P=0.0,1.0
451482	paperref:385103	|	paperref:381906	|	exists=NOTEXIST:P=1.0,0.0
445750	paperref:383184	|	paperref:380578	|	exists=EXIST:P=0.0,1.0
447492	paperref:383040	|	paperref:381193	|	exists=EXIST:P=0.0,1.0
435489	paperref:382476	|	paperref:384563	|	exists=EXIST:P=0.0,1.0
451760	paperref:381051	|	paperref:383140	|	exists=EXIST:P=0.0,1.0
454716	paperref:380604	|	paperref:381846	|
456707	paperref:382462	|	paperref:385021	|	exists=EXIST:P=0.0,1.0
446009	paperref:380672	|	paperref:382775	|	exists=EXIST:P=0.0,1.0
429906	paperref:382919	|	paperref:382271	|	exists=EXIST:P=0.0,1.0
454403	paperref:381949	|	paperref:383842	|
446761	paperref:382364	|	paperref:384728	|
442640	paperref:381523	|	paperref:385113	|	exists=EXIST:P=0.0,1.0
436390	paperref:384742	|	paperref:382759	|	exists=EXIST:P=0.0,1.0
451375	paperref:382877	|	paperref:383687	|	exists=NOTEXIST:P=1.0,0.0
440140	paperref:382887	|	paperref:379940	|	exists=NOTEXIST:P=1.0,0.0
450255	paperref:383433	|	paperref:380261	|	exists=NOTEXIST:P=1.0,0.0
431521	paperref:384137	|	paperref:380778	|	exists=EXIST:P=0.0,1.0
443774	paperref:379694	|	paperref:382022	|	exists=EXIST:P=0.0,1.0
437188	paperref:382897	|	paperref:382103	|	exists=EXIST:P=0.0,1.0
429734	paperref:381083	|	paperref:384794	|	exists=NOTEXIST:P=1.0,0.0
456850	paperref:380729	|	paperref:383028	|	exists=EXIST:P=0.0,1.0
456383	paperref:380016	|	paperref:383087	|
449652	paperref:383391	|	paperref:380128	|	exists=EXIST:P=0.0,1.0
447741	paperref:381461	|	paperref:383365	|
433865	paperref:380070	|	paperref:381275	|
439337	paperref:383135	|	paperref:383164	|	exists=NOTEXIST:P=1.0,0.0
445893	paperref:382482	|	paperref:380008	|	exists=EXIST:P=0.0,1.0
446557	paperref:381539	|	paperref:383356	|
439185	paperref:381873	|	paperref:384834	|
447857	paperref:384502	|	paperref:384673	|	exists=NOTEXIST:P=1.0,0.0
439941	paperref:383178	|	paperref:380342	|
