UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
308094	paperref:164902	paperref:166523	|	exists=NOTEXIST:P=1.0,0.0
275699	paperref:167335	paperref:164004	|
259986	paperref:166517	paperref:163284	|	exists=NOTEXIST:P=1.0,0.0
282467	paperref:165217	paperref:165270	|
278307	paperref:165999	paperref:166000	|
270458	paperref:165466	paperref:164935	|
319923	paperref:165726	paperref:165876	|
265275	paperref:167004	paperref:163627	|
256876	paperref:164209	paperref:166527	|
309219	paperref:167696	paperref:166104	|
318371	paperref:164796	paperref:164795	|	exists=EXIST:P=0.0,1.0
298378	paperref:166426	paperref:165098	|	exists=NOTEXIST:P=1.0,0.0
292708	paperref:165052	paperref:163756	|
307833	paperref:164901	paperref:164753	|	exists=NOTEXIST:P=1.0,0.0
294708	paperref:167247	paperref:166490	|
304188	paperref:165617	paperref:163240	|
297295	paperref:166204	paperref:167327	|
308449	paperref:166707	paperref:165129	|
312102	paperref:166792	paperref:166929	|
310993	paperref:167918	paperref:165644	|
300731	paperref:163641	paperref:163640	|	exists=EXIST:P=0.0,1.0
263196	paperref:165664	paperref:165566	|
267673	paperref:166414	paperref:163588	|
322887	paperref:165583	paperref:163302	|
286359	paperref:164364	paperref:165961	|
257973	paperref:163364	paperref:162736	|
300827	paperref:166663	paperref:165762	|
290324	paperref:165203	paperref:165121	|
276244	paperref:166470	paperref:164295	|	exists=NOTEXIST:P=1.0,0.0
311384	paperref:166710	paperref:164562	|
277405	paperref:164650	paperref:167232	|
312707	paperref:165240	paperref:168219	|
310882	paperref:166655	paperref:165716	|	exists=NOTEXIST:P=1.0,0.0
256482	paperref:163567	paperref:167564	|	exists=NOTEXIST:P=1.0,0.0
261193	paperref:166470	paperref:166613	|	exists=NOTEXIST:P=1.0,0.0
256485	paperref:163269	paperref:163567	|
282335	paperref:165525	paperref:163851	|	exists=NOTEXIST:P=1.0,0.0
280101	paperref:165945	paperref:168187	|
267306	paperref:165673	paperref:163004	|
277581	paperref:168102	paperref:164387	|	exists=NOTEXIST:P=1.0,0.0
261922	paperref:166612	paperref:162874	|
279968	paperref:167396	paperref:167393	|
296291	paperref:167764	paperref:167666	|	exists=NOTEXIST:P=1.0,0.0
287207	paperref:163255	paperref:166274	|
315905	paperref:163512	paperref:162680	|
288719	paperref:167581	paperref:166189	|
317119	paperref:166196	paperref:168228	|	exists=NOTEXIST:P=1.0,0.0
292297	paperref:164314	paperref:167452	|
306519	paperref:163527	paperref:166790	|	exists=NOTEXIST:P=1.0,0.0
308681	paperref:166930	paperref:164415	|
256278	paperref:168315	paperref:164228	|
254048	paperref:163702	paperref:164688	|
323591	paperref:163689	paperref:163691	|
290052	paperref:165803	paperref:165802	|	exists=EXIST:P=0.0,1.0
279549	paperref:164260	paperref:165943	|
298040	paperref:166205	paperref:166651	|	exists=NOTEXIST:P=1.0,0.0
285477	paperref:167778	paperref:165539	|
262630	paperref:163459	paperref:167165	|	exists=NOTEXIST:P=1.0,0.0
287643	paperref:167728	paperref:163046	|
280905	paperref:163988	paperref:165834	|
269216	paperref:167495	paperref:166000	|
255237	paperref:163775	paperref:163177	|	exists=NOTEXIST:P=1.0,0.0
254296	paperref:163175	paperref:165772	|
284565	paperref:167482	paperref:166277	|
307877	paperref:166949	paperref:168096	|
317188	paperref:167934	paperref:166535	|
