UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
372612	paperref:256392	paperref:256186	|	exists=NOTEXIST:P=1.0,0.0
372549	paperref:253064	paperref:253430	|
332468	paperref:253966	paperref:254568	|	exists=NOTEXIST:P=1.0,0.0
354335	paperref:254551	paperref:255751	|
355427	paperref:257637	paperref:253383	|	exists=NOTEXIST:P=1.0,0.0
341533	paperref:254781	paperref:253701	|	exists=NOTEXIST:P=1.0,0.0
360842	paperref:254330	paperref:256673	|
357564	paperref:255018	paperref:255221	|	exists=NOTEXIST:P=1.0,0.0
362795	paperref:258024	paperref:254078	|
360161	paperref:256687	paperref:255029	|
363389	paperref:254718	paperref:258444	|
355517	paperref:256340	paperref:256338	|	exists=EXIST:P=0.0,1.0
369748	paperref:254216	paperref:255544	|
337045	paperref:253323	paperref:254758	|	exists=NOTEXIST:P=1.0,0.0
333757	paperref:257431	paperref:253600	|
373418	paperref:257086	paperref:258119	|
339058	paperref:257864	paperref:254092	|
339317	paperref:255567	paperref:257673	|	exists=NOTEXIST:P=1.0,0.0
351838	paperref:253337	paperref:256696	|	exists=NOTEXIST:P=1.0,0.0
341460	paperref:257667	paperref:255165	|	exists=NOTEXIST:P=1.0,0.0
364378	paperref:253781	paperref:255530	|	exists=NOTEXIST:P=1.0,0.0
334562	paperref:254577	paperref:257312	|
363897	paperref:253437	paperref:256709	|
336452	paperref:257303	paperref:253538	|
337760	paperref:257447	paperref:258202	|
375001	paperref:257494	paperref:254746	|
359216	paperref:256714	paperref:257093	|	exists=NOTEXIST:P=1.0,0.0
343930	paperref:256751	paperref:253485	|
367620	paperref:253596	paperref:257960	|	exists=NOTEXIST:P=1.0,0.0
346826	paperref:253337	paperref:254474	|	exists=NOTEXIST:P=1.0,0.0
357470	paperref:253450	paperref:253451	|	exists=EXIST:P=0.0,1.0
338323	paperref:252947	paperref:258344	|
337740	paperref:256820	paperref:256618	|
360205	paperref:256687	paperref:253436	|
355502	paperref:256942	paperref:256340	|
349547	paperref:254244	paperref:253492	|
358118	paperref:258442	paperref:253452	|	exists=NOTEXIST:P=1.0,0.0
351212	paperref:255529	paperref:256681	|
359768	paperref:256737	paperref:256688	|
344682	paperref:257381	paperref:254592	|
340980	paperref:257665	paperref:256114	|	exists=NOTEXIST:P=1.0,0.0
374135	paperref:256672	paperref:254009	|	exists=NOTEXIST:P=1.0,0.0
358757	paperref:257094	paperref:254387	|	exists=NOTEXIST:P=1.0,0.0
378843	paperref:256165	paperref:255469	|	exists=NOTEXIST:P=1.0,0.0
336588	paperref:256264	paperref:254143	|
339828	paperref:257030	paperref:254328	|	exists=NOTEXIST:P=1.0,0.0
344344	paperref:256862	paperref:257065	|
368134	paperref:255750	paperref:255284	|	exists=NOTEXIST:P=1.0,0.0
345522	paperref:255282	paperref:253114	|	exists=NOTEXIST:P=1.0,0.0
350650	paperref:257277	paperref:254246	|	exists=NOTEXIST:P=1.0,0.0
336900	paperref:254354	paperref:258052	|
373499	paperref:256457	paperref:255526	|	exists=NOTEXIST:P=1.0,0.0
366003	paperref:256271	paperref:255700	|	exists=NOTEXIST:P=1.0,0.0
369204	paperref:256168	paperref:255398	|	exists=NOTEXIST:P=1.0,0.0
375349	paperref:253486	paperref:256678	|	exists=NOTEXIST:P=1.0,0.0
342995	paperref:257844	paperref:254027	|	exists=NOTEXIST:P=1.0,0.0
373976	paperref:256670	paperref:253493	|	exists=NOTEXIST:P=1.0,0.0
352470	paperref:256743	paperref:253389	|	exists=NOTEXIST:P=1.0,0.0
366870	paperref:258318	paperref:256040	|
360736	paperref:253488	paperref:256738	|
333623	paperref:254141	paperref:257785	|
367314	paperref:257850	paperref:256990	|	exists=NOTEXIST:P=1.0,0.0
334858	paperref:253800	paperref:253435	|	exists=NOTEXIST:P=1.0,0.0
371802	paperref:253596	paperref:257102	|	exists=NOTEXIST:P=1.0,0.0
353959	paperref:257639	paperref:256943	|	exists=NOTEXIST:P=1.0,0.0
362999	paperref:255539	paperref:255862	|	exists=NOTEXIST:P=1.0,0.0
349138	paperref:254243	paperref:257624	|
339705	paperref:256686	paperref:252942	|
376831	paperref:258087	paperref:257115	|	exists=NOTEXIST:P=1.0,0.0
346991	paperref:257532	paperref:254369	|
331209	paperref:256337	paperref:252940	|	exists=NOTEXIST:P=1.0,0.0
342551	paperref:255379	paperref:258474	|	exists=NOTEXIST:P=1.0,0.0
373807	paperref:256459	paperref:254595	|	exists=NOTEXIST:P=1.0,0.0
370266	paperref:255280	paperref:255753	|	exists=NOTEXIST:P=1.0,0.0
350336	paperref:256083	paperref:254152	|
372728	paperref:254595	paperref:252910	|
374971	paperref:257434	paperref:256676	|	exists=NOTEXIST:P=1.0,0.0
354123	paperref:254480	paperref:253641	|
356479	paperref:257099	paperref:258296	|
348474	paperref:253643	paperref:254479	|	exists=NOTEXIST:P=1.0,0.0
337233	paperref:258062	paperref:257156	|	exists=NOTEXIST:P=1.0,0.0
331181	paperref:257904	paperref:253956	|	exists=NOTEXIST:P=1.0,0.0
379171	paperref:258429	paperref:258428	|	exists=EXIST:P=0.0,1.0
332019	paperref:255640	paperref:257675	|
334964	paperref:256679	paperref:258166	|	exists=NOTEXIST:P=1.0,0.0
365505	paperref:255393	paperref:258109	|
343301	paperref:257230	paperref:256388	|
372804	paperref:256677	paperref:258110	|	exists=NOTEXIST:P=1.0,0.0
350955	paperref:256682	paperref:255531	|
366363	paperref:253444	paperref:256709	|	exists=NOTEXIST:P=1.0,0.0
361412	paperref:254007	paperref:256683	|
335473	paperref:254080	paperref:254075	|	exists=EXIST:P=0.0,1.0
345339	paperref:255945	paperref:256499	|	exists=NOTEXIST:P=1.0,0.0
341747	paperref:257646	paperref:253384	|	exists=NOTEXIST:P=1.0,0.0
336765	paperref:254081	paperref:257993	|
369307	paperref:258011	paperref:257430	|	exists=NOTEXIST:P=1.0,0.0
372517	paperref:253919	paperref:252889	|
356429	paperref:255180	paperref:255179	|
351601	paperref:252924	paperref:253337	|	exists=NOTEXIST:P=1.0,0.0
378468	paperref:257212	paperref:255029	|	exists=NOTEXIST:P=1.0,0.0
374372	paperref:253834	paperref:256671	|	exists=NOTEXIST:P=1.0,0.0
352430	paperref:256089	paperref:256090	|
375057	paperref:256675	paperref:254374	|
362433	paperref:254893	paperref:257478	|	exists=NOTEXIST:P=1.0,0.0
333069	paperref:254830	paperref:253334	|	exists=NOTEXIST:P=1.0,0.0
358188	paperref:253142	paperref:253666	|	exists=NOTEXIST:P=1.0,0.0
363801	paperref:257009	paperref:256715	|	exists=NOTEXIST:P=1.0,0.0
362254	paperref:253798	paperref:256691	|
357699	paperref:255009	paperref:255221	|
342418	paperref:254028	paperref:253406	|
367468	paperref:258257	paperref:257961	|	exists=NOTEXIST:P=1.0,0.0
346277	paperref:254092	paperref:255133	|	exists=NOTEXIST:P=1.0,0.0
347620	paperref:258484	paperref:256391	|	exists=NOTEXIST:P=1.0,0.0
331628	paperref:252941	paperref:257207	|
379047	paperref:257432	paperref:257433	|
379096	paperref:253386	paperref:253387	|	exists=EXIST:P=0.0,1.0
358752	paperref:258473	paperref:255361	|
341927	paperref:254780	paperref:252910	|
353253	paperref:254059	paperref:255861	|	exists=NOTEXIST:P=1.0,0.0
369673	paperref:253268	paperref:256258	|
335621	paperref:253126	paperref:256576	|
378495	paperref:255966	paperref:255963	|	exists=EXIST:P=0.0,1.0
362503	paperref:256942	paperref:253494	|
374857	paperref:256461	paperref:254592	|	exists=NOTEXIST:P=1.0,0.0
366241	paperref:256679	paperref:256335	|
339210	paperref:253488	paperref:253390	|	exists=NOTEXIST:P=1.0,0.0
357672	paperref:254719	paperref:255221	|	exists=NOTEXIST:P=1.0,0.0
342538	paperref:257643	paperref:256684	|
362716	paperref:256943	paperref:256463	|
353060	paperref:256088	paperref:257097	|	exists=NOTEXIST:P=1.0,0.0
346170	paperref:256035	paperref:253677	|	exists=NOTEXIST:P=1.0,0.0
376706	paperref:253292	paperref:253387	|	exists=NOTEXIST:P=1.0,0.0
374591	paperref:256814	paperref:256819	|	exists=EXIST:P=0.0,1.0
376096	paperref:257086	paperref:253488	|	exists=NOTEXIST:P=1.0,0.0
378509	paperref:254385	paperref:255135	|
354042	paperref:254233	paperref:254553	|
357944	paperref:256807	paperref:257730	|
344249	paperref:256861	paperref:255541	|
361710	paperref:258295	paperref:256684	|	exists=NOTEXIST:P=1.0,0.0
344884	paperref:257382	paperref:256745	|
342843	paperref:253488	paperref:257644	|	exists=NOTEXIST:P=1.0,0.0
375948	paperref:254326	paperref:254372	|
349868	paperref:254778	paperref:257624	|	exists=NOTEXIST:P=1.0,0.0
356444	paperref:257099	paperref:254386	|
331591	paperref:255056	paperref:253229	|
331462	paperref:253015	paperref:253693	|	exists=NOTEXIST:P=1.0,0.0
350029	paperref:254430	paperref:254362	|	exists=NOTEXIST:P=1.0,0.0
339835	paperref:257030	paperref:254596	|
343285	paperref:257230	paperref:258486	|	exists=NOTEXIST:P=1.0,0.0
356853	paperref:253798	paperref:257098	|	exists=NOTEXIST:P=1.0,0.0
337501	paperref:258063	paperref:253592	|
335114	paperref:257924	paperref:254707	|
348061	paperref:254948	paperref:255373	|	exists=NOTEXIST:P=1.0,0.0
372775	paperref:255297	paperref:255298	|	exists=EXIST:P=0.0,1.0
366937	paperref:256339	paperref:256244	|	exists=NOTEXIST:P=1.0,0.0
371267	paperref:254720	paperref:254166	|	exists=NOTEXIST:P=1.0,0.0
359976	paperref:256718	paperref:257091	|	exists=NOTEXIST:P=1.0,0.0
347185	paperref:255108	paperref:257091	|	exists=NOTEXIST:P=1.0,0.0
334685	paperref:256690	paperref:254838	|	exists=NOTEXIST:P=1.0,0.0
354297	paperref:254329	paperref:253043	|	exists=NOTEXIST:P=1.0,0.0
360099	paperref:256687	paperref:255398	|
355383	paperref:256198	paperref:256724	|
364078	paperref:253661	paperref:254507	|
336203	paperref:253125	paperref:256575	|	exists=NOTEXIST:P=1.0,0.0
353117	paperref:256745	paperref:253293	|	exists=NOTEXIST:P=1.0,0.0
357695	paperref:253438	paperref:255221	|	exists=NOTEXIST:P=1.0,0.0
342794	paperref:257453	paperref:254366	|
340105	paperref:257516	paperref:256215	|	exists=NOTEXIST:P=1.0,0.0
335683	paperref:254093	paperref:253473	|
339491	paperref:253897	paperref:253443	|	exists=NOTEXIST:P=1.0,0.0
376511	paperref:253386	paperref:254860	|	exists=NOTEXIST:P=1.0,0.0
361977	paperref:256692	paperref:255029	|	exists=NOTEXIST:P=1.0,0.0
341148	paperref:257640	paperref:253495	|
352968	paperref:256088	paperref:256173	|	exists=NOTEXIST:P=1.0,0.0
372579	paperref:254174	paperref:255156	|	exists=NOTEXIST:P=1.0,0.0
347464	paperref:258238	paperref:254476	|
340256	paperref:257639	paperref:257641	|	exists=EXIST:P=0.0,1.0
357948	paperref:257730	paperref:257114	|	exists=NOTEXIST:P=1.0,0.0
349302	paperref:256168	paperref:256081	|
376491	paperref:255963	paperref:253404	|	exists=NOTEXIST:P=1.0,0.0
373738	paperref:253798	paperref:256670	|	exists=NOTEXIST:P=1.0,0.0
342838	paperref:257644	paperref:253976	|
350111	paperref:253383	paperref:254245	|
350013	paperref:255503	paperref:254497	|
362208	paperref:256691	paperref:256667	|
364127	paperref:256261	paperref:253439	|
362537	paperref:256942	paperref:254867	|
356793	paperref:255223	paperref:256039	|	exists=NOTEXIST:P=1.0,0.0
344958	paperref:257382	paperref:256739	|
371605	paperref:254542	paperref:256667	|	exists=NOTEXIST:P=1.0,0.0
337930	paperref:255691	paperref:258264	|	exists=NOTEXIST:P=1.0,0.0
349049	paperref:258189	paperref:255505	|	exists=NOTEXIST:P=1.0,0.0
340544	paperref:257642	paperref:253384	|	exists=NOTEXIST:P=1.0,0.0
348872	paperref:255018	paperref:256082	|	exists=NOTEXIST:P=1.0,0.0
337774	paperref:254086	paperref:257624	|	exists=NOTEXIST:P=1.0,0.0
346569	paperref:257096	paperref:254091	|	exists=NOTEXIST:P=1.0,0.0
372856	paperref:258111	paperref:253484	|	exists=NOTEXIST:P=1.0,0.0
344407	paperref:258483	paperref:257234	|
344098	paperref:253973	paperref:256741	|
351457	paperref:255393	paperref:253337	|
335654	paperref:257645	paperref:253473	|	exists=NOTEXIST:P=1.0,0.0
356320	paperref:254548	paperref:256676	|	exists=NOTEXIST:P=1.0,0.0
352516	paperref:256743	paperref:257624	|
348545	paperref:254241	paperref:253485	|	exists=NOTEXIST:P=1.0,0.0
354714	paperref:257805	paperref:253822	|
372020	paperref:256669	paperref:254372	|	exists=NOTEXIST:P=1.0,0.0
362897	paperref:254719	paperref:253797	|	exists=NOTEXIST:P=1.0,0.0
361549	paperref:256090	paperref:253439	|
334392	paperref:254837	paperref:256675	|
359463	paperref:253285	paperref:257092	|	exists=NOTEXIST:P=1.0,0.0
355046	paperref:257636	paperref:256538	|
367992	paperref:257808	paperref:258122	|	exists=NOTEXIST:P=1.0,0.0
373619	paperref:253719	paperref:253718	|	exists=EXIST:P=0.0,1.0
342711	paperref:253977	paperref:253780	|
374918	paperref:257493	paperref:254744	|	exists=NOTEXIST:P=1.0,0.0
