DIRECTED	paperref-cites
cat=NOTEXIST,EXIST:exists
202053	paperref:128844	|	paperref:128441	|	exists=EXIST:P=0.0,1.0
202119	paperref:127374	|	paperref:129291	|	exists=EXIST:P=0.0,1.0
201441	paperref:129909	|	paperref:128754	|	exists=EXIST:P=0.0,1.0
181783	paperref:128526	|	paperref:129090	|
202290	paperref:127407	|	paperref:130640	|	exists=EXIST:P=0.0,1.0
188871	paperref:129068	|	paperref:132219	|	exists=NOTEXIST:P=1.0,0.0
183322	paperref:128305	|	paperref:131704	|	exists=EXIST:P=0.0,1.0
192575	paperref:128122	|	paperref:128843	|	exists=EXIST:P=0.0,1.0
197867	paperref:131102	|	paperref:129826	|	exists=EXIST:P=0.0,1.0
179557	paperref:131638	|	paperref:128701	|	exists=EXIST:P=0.0,1.0
188496	paperref:129769	|	paperref:128707	|	exists=EXIST:P=0.0,1.0
181003	paperref:131178	|	paperref:130883	|
197264	paperref:128494	|	paperref:127832	|	exists=EXIST:P=0.0,1.0
185558	paperref:131804	|	paperref:130376	|
183895	paperref:128140	|	paperref:129996	|	exists=NOTEXIST:P=1.0,0.0
183395	paperref:128435	|	paperref:132359	|
201301	paperref:131795	|	paperref:129813	|	exists=NOTEXIST:P=1.0,0.0
192479	paperref:130206	|	paperref:128535	|	exists=EXIST:P=0.0,1.0
193187	paperref:131728	|	paperref:130305	|
184049	paperref:128154	|	paperref:130737	|
183083	paperref:132295	|	paperref:129661	|	exists=EXIST:P=0.0,1.0
200865	paperref:127397	|	paperref:129360	|	exists=EXIST:P=0.0,1.0
181025	paperref:131385	|	paperref:128667	|	exists=EXIST:P=0.0,1.0
178750	paperref:129515	|	paperref:127285	|
194350	paperref:131189	|	paperref:132025	|	exists=EXIST:P=0.0,1.0
183004	paperref:130293	|	paperref:127175	|	exists=NOTEXIST:P=1.0,0.0
187076	paperref:128041	|	paperref:128305	|	exists=EXIST:P=0.0,1.0
189157	paperref:128189	|	paperref:129101	|	exists=NOTEXIST:P=1.0,0.0
177449	paperref:128504	|	paperref:131160	|	exists=EXIST:P=0.0,1.0
181674	paperref:131814	|	paperref:130906	|	exists=EXIST:P=0.0,1.0
196512	paperref:128513	|	paperref:130333	|	exists=EXIST:P=0.0,1.0
181420	paperref:127843	|	paperref:127556	|	exists=EXIST:P=0.0,1.0
204255	paperref:129414	|	paperref:129724	|
204391	paperref:132301	|	paperref:132453	|	exists=NOTEXIST:P=1.0,0.0
183973	paperref:127740	|	paperref:131648	|	exists=EXIST:P=0.0,1.0
197126	paperref:128002	|	paperref:132158	|	exists=NOTEXIST:P=1.0,0.0
195371	paperref:131262	|	paperref:131344	|	exists=EXIST:P=0.0,1.0
195381	paperref:131262	|	paperref:130873	|
185084	paperref:128688	|	paperref:128524	|	exists=NOTEXIST:P=1.0,0.0
194175	paperref:129937	|	paperref:127599	|
191313	paperref:128317	|	paperref:129988	|	exists=NOTEXIST:P=1.0,0.0
189136	paperref:127284	|	paperref:130657	|
198642	paperref:132126	|	paperref:130235	|	exists=EXIST:P=0.0,1.0
184450	paperref:127238	|	paperref:128440	|	exists=EXIST:P=0.0,1.0
190139	paperref:132351	|	paperref:127893	|	exists=NOTEXIST:P=1.0,0.0
